"Pass","UB-4964 (Cod30)","UB-4960 (BuD391B)","UB-6476 (BuD339)","UB-4734 (MH105c)","UB-4732 (MH094)","UB-4890 (MelSG075)","UB-4728 (MH064)","UB-6041 (CasD182)","UB-6038 (CasD183)","UB-4959 (BuD391A)","UB-4511 (EH090)","UB-4512 (EH091)","MelSG077","UB-4885 (MelSG078)","UB-4884 (MelSG079)","UB-4882 (MelSG080)","UB-4733 (MH095)","UB-6473 (BuD250)","UB-4735 (Ber022)","UB-4739 (Ber134/1)","UB-4836 (WG27)","UB-6472 (BuD222)","UB-6037 (CasD134)","UB-4888 (MelSG089)","UB-6040 (CasD053)","UB-4707 (EH079)","UB-6035 (CasD096)","UB-4975 (AstCli12)","UB-4984 (Lec018)","UB-4835 (ApD134)","UB-4729 (MH068)","UB-6034 (CasD120)","UB-4705 (WHes123)","UB-6033 (WHes113)","UB-4709 (EH014)","UB-4708 (EH083)","UB-5208 (ApD107)","UB-4077 (But4275)","UB-4965 (ApD117)","UB-4889 (MelSG069)","UB-4963 (SPTip208)","UB-6032 (SPTip073)","UB-6036 (CasD013)","UB-4887 (MelSG082)","UB-4883 (MelSG095)","UB-4042 (But1674)","UB-4552 (MaDE3)","UB-4507 (Lec187)","UB-4706 (WHes118)","UB-4502 (Lec138)","UB-4504 (Lec179)","UB-4910 (BloodH22)","UB-4506 (Lec172/2)","UB-4551 (MaDE1 & E2)","UB-4554 (MaDF2)","UB-4549 (MaDC7)","UB-4553 (MaDD10)","UB-6042 (CasD088)","UB-4501 (Lec014)","UB-4503 (Lec148)","SUERC-51539 (ERL G353)","SUERC-51548 (ERL G210)","SUERC-51553 (ERL G116)","SUERC-39108 ERLK G322","SUERC-39109 ERL G362","SUERC-39112 ERL G405","SUERC-51560 ERL G038","SUERC-39091 (ERL G003)","SUERC-39092 (ERL G005)","SUERC-39113 (ERL G417)","SUERC-51549 (ERL G195)","SUERC-51543 (ERL G281)","SUERC-51551 (ERL G193)","SUERC-51552 (ERL G107)","SUERC-39100 (ERL G266)","SUERC-51550 (ERL G254)","SUERC-39096 (ERL G112)",
0,646.225,515.437,524.558,520.104,541.022,554.076,565.747,566.965,618.227,644.064,559.124,740.519,573.328,596.815,638.255,649.705,520.976,505.536,565.654,532.012,491.844,566.407,547.842,559.013,553.524,583.473,577.136,587.19,595.975,592.365,560.749,577.697,566.266,581.924,589.695,587.642,570.728,636.308,585.861,617.392,611.241,614.663,606.7,635.854,606.317,648.362,658.987,648.562,648.655,649.629,660.117,658.903,659.402,753.64,661.607,663.272,655.483,673.987,671.771,765.567,629.056,674.144,675.436,531.862,441.481,543.659,497.798,501.068,470.995,570.245,579.563,590.186,593.665,603.376,596.952,649.931,622.876,
20,648.235,526.553,536.697,563.986,533.914,543.769,585.463,555.927,628.623,628.473,564.23,767.425,575.956,602.659,616.994,646.888,429.904,441.384,445.591,546.044,444.265,557.637,555.821,494.85,549.865,586.267,546.712,566.296,582.923,555.386,579.345,555.683,572.275,591.426,596.289,628.492,557.733,570.507,604.238,600.33,640.193,602.533,610.795,606.309,647.495,644.083,658.987,653.781,647.365,654.628,649.826,658.903,657.35,679.205,654.833,752.82,763.139,676.27,741.562,683.632,630.614,762.372,662.025,480.14,523.543,522.87,454.257,509.174,537.379,489.95,540.243,589.105,640.751,638.556,581.766,649.931,625.41,
40,648.235,526.646,515.734,520.91,598.011,546.468,580.237,569.244,625.162,649.886,595.025,678.518,575.328,576.757,610.667,659.891,436.74,485.085,561.454,445.24,456.904,446.15,554.276,559.404,575.9,547.201,593.927,559.924,589.437,572.34,591.793,603.972,592.55,604.062,596.289,588.237,566.047,570.05,584.152,638.969,622.056,630.919,632.06,616.503,650.168,650.986,658.987,650.982,643.3,654.628,654.754,658.039,660.315,663.528,754.025,741.936,761.171,662.721,669.504,771.33,621.922,663.471,662.926,466.934,458.035,502.526,537.845,498.362,497.938,580.068,578.499,587.15,631.293,650.387,635.098,650.806,604.321,
60,648.235,523.521,510.983,526.039,548.642,563.234,577.475,578.298,624.411,649.886,574.76,672.682,591.009,619.916,652.898,655.485,489.175,492.006,525.028,487.676,546.416,566.029,544.718,547.905,553.131,544.367,554.806,578.935,553.162,559.907,590.689,574.602,555.962,594.898,565.836,598.553,590.777,633.379,610.344,620.924,607.539,649.652,631.323,630.865,621.594,648.568,658.987,650.982,613.057,678.977,654.754,657.948,680.205,675.761,673.968,753.847,743.531,665.478,664.063,681.377,590.094,674.843,754.014,533.007,460.737,479.574,555.957,470.907,449.321,585.834,557.147,597.963,613.532,606.875,598.202,615.995,634.98,
80,650.698,521.353,513.886,543.363,537.028,546.497,590.44,592.28,628.97,653.54,601.413,667.252,580.196,589.028,622.519,655.829,427.349,540.254,441.409,450.389,487.384,509.545,487.294,544.97,527.698,541.432,581.463,579.341,559.168,580.395,570.157,565.443,592.175,587.902,582.579,582.398,559.485,568.378,634.934,593.635,614.845,634.102,609.295,635.305,640.822,641.558,650.2,659.553,642.097,648.097,652.31,657.948,683.76,755.788,664.998,757.55,671.11,669.171,669.837,673.387,634.743,753.604,658.332,470.364,450.499,479.348,551.488,463.588,513.104,590.204,563.134,589.603,603.679,605.297,592.224,598.74,622.358,
100,642.331,522.547,531.217,547.688,560.354,551.116,613.771,580.679,650.68,637.809,592.36,654.334,557.211,585.98,644.906,660.131,452.036,491.986,445.2,491.807,461.206,553.696,560.634,540.762,560.123,562.762,547.629,580.925,574.376,570.603,584.435,571.674,584.091,558.807,567.72,584.779,610.993,582.381,602.041,628.128,621.286,647.975,599.879,647.419,619.609,648.406,650.385,615.349,661.917,618.807,642.323,657.948,757.973,770.174,672.534,667.98,680.249,665.451,768.861,673.862,610.884,680.442,658.332,495.909,541.83,481.835,500.838,525.351,478.989,576.554,595.348,632.884,622.619,643.276,632.911,619.608,620.986,
120,642.797,517.99,551.782,550.773,544.073,548.803,596.501,578.055,636.225,644.197,446.298,658.352,549.151,603.199,614.665,682.363,521.881,441.19,469.034,511.814,527.319,564.299,550.71,539.45,550.324,447.328,573.776,566.584,585.557,556.482,591.695,589.099,560.006,589.803,563.911,549.388,602.763,580.732,593.462,570.115,637.118,647.975,618.959,603.213,647.364,646.451,664.957,643.003,638.468,622.343,653.874,664.421,722.706,759.485,670.299,757.453,751.994,751.553,746.354,669.792,631.263,753.226,654.441,494.411,481.509,502.82,539.67,478.191,462.713,590.759,596.596,595.607,610.268,643.622,587.675,617.692,627.645,
140,641.289,516.739,518.97,541.314,539.23,549.998,581.001,570.775,640.562,638.191,595.378,658.205,583.278,608.828,609.876,661.571,461.064,485.405,534.034,562.737,452.316,514.569,541.863,582.935,550.324,551.217,570.802,438.737,591.579,543.005,547.382,490.22,583.966,599.654,597.862,578.018,598.905,580.838,562.442,609.64,627.775,636.341,601.96,634.264,622.171,626.43,664.957,655.675,618.871,611.512,661.871,664.421,744.601,660.347,688.141,757.453,670.325,763.647,678.657,682.583,639.652,660.765,659.246,533.539,451.024,451.52,464.387,497.304,547.428,586.699,586.876,573.105,615.691,643.622,604.267,653.794,637.701,
160,657.281,518.389,524.818,536.294,540.36,558.167,588.492,595.253,606.359,608.357,558.301,659.973,564.179,576.266,612.621,651.057,481.87,477.13,494.977,536.379,510.023,547.372,556.284,567.989,588.831,477.566,590.306,574.688,587.912,593.781,575.986,584.223,574.85,557.991,572.44,637.191,598.905,602.241,589.064,619.158,618.755,639.357,624.399,611.52,604.416,639.715,664.957,656.747,642.062,649.542,664.627,664.421,661.29,670.188,665.167,749.327,662.315,679.442,676.435,657.666,626.405,668.009,658.678,512.092,543.194,455.941,484.566,474.673,521.742,567.274,584.782,574.844,643.803,610.411,578.383,654.55,635.392,
180,633.752,525.141,512.171,544.41,540.36,560.525,575.703,587.382,644.992,620.587,591.897,671.982,591.115,597.422,650.037,651.057,518.834,539.868,463.249,445.859,545.856,489.761,453.165,490.078,559.851,559.148,550.441,582.422,592.272,588.004,548.543,608.979,602.43,572.4,570.934,632.885,561.181,581.039,592.191,632.389,644.6,638.615,615.008,640.105,642.907,623.456,663.629,641.349,650.956,649.542,670.556,662.624,669.608,695.156,757.078,672.172,672.287,675.147,769.107,676.947,637.167,753.744,665.645,466.022,539.659,447.509,546.913,460.174,525.043,545.294,571.199,595.229,646.113,648.436,597.32,638.052,609.51,
