"Pass","UB-4964 (Cod30)","UB-4960 (BuD391B)","UB-6476 (BuD339)","UB-4734 (MH105c)","UB-4732 (MH094)","UB-4890 (MelSG075)","UB-4728 (MH064)","UB-6041 (CasD182)","UB-6038 (CasD183)","UB-4959 (BuD391A)","UB-4511 (EH090)","UB-4512 (EH091)","MelSG077","UB-4885 (MelSG078)","UB-4884 (MelSG079)","UB-4882 (MelSG080)","UB-4733 (MH095)","UB-6473 (BuD250)","UB-4735 (Ber022)","UB-4739 (Ber134/1)","UB-4836 (WG27)","UB-6472 (BuD222)","UB-6037 (CasD134)","UB-4888 (MelSG089)","UB-6040 (CasD053)","UB-4707 (EH079)","UB-6035 (CasD096)","UB-4975 (AstCli12)","UB-4984 (Lec018)","UB-4835 (ApD134)","UB-4729 (MH068)","UB-6034 (CasD120)","UB-4705 (WHes123)","UB-6033 (WHes113)","UB-4709 (EH014)","UB-4708 (EH083)","UB-5208 (ApD107)","UB-4077 (But4275)","UB-4965 (ApD117)","UB-4889 (MelSG069)","UB-4963 (SPTip208)","UB-6032 (SPTip073)","UB-6036 (CasD013)","UB-4887 (MelSG082)","UB-4883 (MelSG095)","UB-4042 (But1674)","UB-4552 (MaDE3)","UB-4507 (Lec187)","UB-4706 (WHes118)","UB-4502 (Lec138)","UB-4504 (Lec179)","UB-4910 (BloodH22)","UB-4506 (Lec172/2)","UB-4551 (MaDE1 & E2)","UB-4554 (MaDF2)","UB-4549 (MaDC7)","UB-4553 (MaDD10)","UB-6042 (CasD088)","UB-4501 (Lec014)","UB-4503 (Lec148)","SUERC-51539 (ERL G353)","SUERC-51548 (ERL G210)","SUERC-51553 (ERL G116)","SUERC-39108 ERLK G322","SUERC-39109 ERL G362","SUERC-39112 ERL G405","SUERC-51560 ERL G038","SUERC-39091 (ERL G003)","SUERC-39092 (ERL G005)","SUERC-39113 (ERL G417)","SUERC-51549 (ERL G195)","SUERC-51543 (ERL G281)","SUERC-51551 (ERL G193)","SUERC-51552 (ERL G107)","SUERC-39100 (ERL G266)","SUERC-51550 (ERL G254)","SUERC-39096 (ERL G112)",
200,633.752,534.731,533.488,516.085,534.473,553.833,564.727,565.748,606.844,635.756,451.916,659.936,577.082,631.27,650.093,664.706,457.612,475.509,448.232,565.111,526.669,488.237,553.596,453.627,588.375,555.312,584.34,571.337,573.655,594.618,572.08,579.539,565.597,581.292,554.184,626.512,578.361,620.327,574.276,629.341,634.202,620.343,633.143,615.74,642.907,607.451,713.78,651.325,647.012,650.177,657.026,658.073,661.362,745.12,663.664,655.879,661.741,669.898,672.623,685.571,609.299,678.85,656.238,469.762,455.624,568.402,554.967,533.522,481.821,561.411,634.308,597.698,606.779,640.433,588.945,621.271,572.078,
220,644.626,510.189,521.995,536.004,522.161,558.707,550.68,571.333,603.157,623.95,561.646,674.432,582.591,593.852,647.435,662.903,494.212,434.207,470.385,557.535,534.99,582.888,547.238,473.709,554.757,566.177,561.03,578.051,584.74,580.593,580.427,550.645,612.059,626.775,602.034,583.187,638.537,585.941,626.304,635.64,601.079,613.271,642.151,638.182,610.379,649.933,673.803,651.325,608.528,638.998,657.026,662.669,669.355,759.041,766.071,750.95,742.215,697.411,666.861,764.987,607.417,672.642,669.483,520.754,484.043,580.585,479.847,494.764,440.83,548.528,622.011,596.895,603.124,632.569,591.037,619.688,635.137,
240,644.626,523.355,524.282,535.935,547.748,536.424,566.483,562.549,616.771,599.859,564.465,652.701,571.151,577.412,617.175,664.914,509.344,479.308,535.537,474.97,484.073,554.923,544.356,587.172,597.68,503.108,558.165,585.02,566.434,590.094,576.397,588.119,562.045,590.509,626.324,576.736,561.824,605.099,608.975,610.891,639.896,622.213,613.638,647.406,637.696,649.023,658.609,650.201,652.471,653.745,654.494,654.825,662.268,676.089,672.75,670.757,668.325,673.549,664.296,727.017,602.358,757.323,660.173,537.954,492.489,454.457,547.451,524.385,510.633,563.235,564.151,597.087,621.247,640.227,583.167,606.578,623.874,
260,644.626,518.986,523.044,528.948,547.802,547.179,579.407,568.899,623.47,609.377,588.841,669.489,559.123,596.959,645.3,655.633,442.521,541.597,483.028,549.491,475.27,578.215,452.513,564.133,561.977,571.482,545.835,556.544,572.778,577.206,593.864,592.672,592.955,577.106,588.452,582.087,568.631,586.006,583.312,621.25,608.747,605.779,626.21,605.596,648.727,642.985,662.232,612.127,652.98,651.231,656.741,654.825,662.268,669.94,754.298,754.384,700.428,763.504,756.122,697.986,583.779,658.181,656.667,496.72,478.579,540.901,547.894,529.159,485.852,556.524,575.062,599.24,611.906,614.285,572.89,651.26,604.034,
280,630.825,522.094,556.01,536.875,527.626,544.329,574.918,551.856,592.888,617.965,600.837,663.128,564.502,588.308,651.496,663.883,450.843,497.785,454.314,539.782,504.545,543.556,543.109,545.806,561.977,584.832,575.943,585.685,560.094,594.243,561.643,586.108,558.854,571.089,484.655,593.108,585.269,638.731,590.416,568.055,622.323,614.247,640.955,635.298,641.616,629.625,662.76,648.494,654.511,624.872,665.589,662.437,656.294,671.574,679.55,677.866,761.337,752.656,669.261,751.112,630.756,664.049,655.397,498.359,482.881,537.206,519.059,446.93,446.295,596.099,599.539,580.416,637.841,622.821,583.906,660.135,620.965,
300,646.495,530.058,515.322,527.103,541.334,524.515,583.261,593.622,621.363,640.047,642.019,655.494,592.229,607.369,649.126,653.988,471.127,535.943,544.829,509.59,437.686,542.292,576.349,580.549,437.021,566.758,574.421,558.743,575.899,561.09,550.832,487.827,487.555,594.448,597.232,542.778,574.728,598.332,634.889,635.182,654.308,607.037,624.448,653.339,605.293,613.162,770.544,652.808,619.034,650.982,657.721,666.922,752.658,671.272,690.266,763.721,762.832,668.294,668.122,681.066,588.84,675.773,657.793,500.999,499.978,487.272,445.452,454.744,478.994,554.352,586.891,586.039,637.841,612.544,585.011,656.52,613.787,
320,637.968,530.933,515.322,534.769,521.999,567.968,628.335,573.924,644.594,641.353,566.889,659.011,588.744,591.96,645.34,658.116,424.359,468.846,549.59,453.469,485.822,546.405,541.3,544.404,589.394,565.62,561.572,568.812,577.609,565.964,571.543,585.271,656.491,587.068,636.945,642.349,595.532,573.962,641.839,607.683,639.107,607.037,645.651,609.523,605.293,623.064,668.457,651.968,644.872,643.682,652.313,677.892,658.128,756.62,663.688,664.756,660.921,648.235,659.944,765.731,594.78,656.011,664.375,516.803,565.07,488.99,494.029,437.441,436.437,565.386,576.507,589.779,639.516,639.841,580.325,649.652,631.941,
340,631.166,510.287,514.094,539.444,541.172,548.396,597.459,594.304,611.207,624.721,555.745,676.31,602.558,626.361,639.873,656.231,464.036,433.99,442.224,487.422,487.73,474.281,452.118,442.056,492.181,592.966,580.336,585.927,594.682,562.472,555.569,578.983,541.216,566.087,569.302,602.501,601.262,576.588,585.704,605.948,625.847,607.92,627.845,620.119,636.209,645.34,675.179,651.968,649.587,656.317,656.745,653.351,744.588,758.663,748.54,770.807,671.813,666.869,690.222,758.614,640.979,675.083,662.521,536.352,481.894,486.206,487.003,521.659,538.396,565.386,584.115,582.438,627.64,642.48,625.881,651.407,584.177,
360,642.579,534.683,515.981,541.224,544.672,590.898,553.721,585.303,633.905,624.721,589.62,659.909,579.438,587.354,651.516,659.278,490.013,549.104,538.272,464.882,559.862,484.442,547.429,549.487,547.946,582.084,597.946,544.556,582.003,567.824,598.834,587.361,558.935,584.863,637.831,621.921,581.616,643.862,582.852,627.253,638.217,608.182,626.741,755.061,651.519,621.93,660.289,652.282,612.957,645.228,657.727,668.01,660.72,763.68,667.291,673.34,748.343,677.789,665.06,676.873,622.028,672.398,703.456,521.31,448.013,463.602,513.86,467.262,471.683,570.009,586.913,595.077,640.141,631.539,579.928,618.194,597.451,
380,648.223,516.828,530.665,519.326,544.762,545.929,592.868,561.31,601.655,644.594,574.415,659.909,585.05,588.934,646.872,663.356,465.252,431.891,456.371,480.742,446.223,447.943,555.153,573.542,564.239,576.307,576.39,588.546,569.389,581.51,549.125,598.379,595.25,574.981,591.828,580.407,599.269,583.308,586.479,641.671,635.813,646.433,641.837,639.022,607.775,645.502,645.14,650.029,653.984,655.484,657.727,668.01,657.041,763.475,677.593,676.76,746.007,749.953,703.098,673.229,630.388,662.012,660.104,478.974,464.526,446.436,449.914,434.467,472.014,587.071,594.578,578.825,605.382,642.681,585.035,651.591,622.776,
400,648.223,519.465,523.182,510.618,560.409,562.378,536.416,559.969,595.111,655.388,629.581,658.755,587.304,614.188,647.199,654.399,522.493,451.583,458.259,450.833,498.999,459.787,582.648,554.832,548.976,543.772,593.106,564.551,576.658,565.796,596.475,557.492,595.5,569.164,569.131,577.745,631.027,600.792,565.879,613.151,648.239,642.163,629.373,622.94,650.475,613.958,750.768,650.029,651.137,655.484,667.017,664.846,659.956,669.839,660.559,762.38,760.764,726.049,727.617,674.806,633.17,661.705,641.222,525.348,492.811,545.863,557.776,438.542,437.016,594.81,564.028,594.815,640.758,617.66,574.639,656.438,627.582,
420,643.643,525.057,534.371,537.218,534.744,552.061,574.817,575.163,616.276,635.15,555.123,661.764,610.939,641.255,646.264,655.878,434.174,542.421,485.248,450.516,479.441,481.618,549.565,552.474,555.561,555.513,572.251,554.792,621.403,569.602,579.312,568.079,631.281,607.943,567.649,565.976,587.708,580.992,586.237,576.822,631.909,618.766,601.642,649.18,600.145,617.072,760.456,659.129,651.137,649.124,664.245,657.058,656.848,670.446,663.28,760.265,675.716,749.995,679.015,661.74,639.297,759.228,646.9,531.404,468.531,451.846,505.316,507.409,445.056,569.297,572.814,589.188,641.001,623.196,593.579,603.397,610.941,
440,633.632,525.168,516.578,535.264,557.518,549.326,573.194,569.558,637.159,618.659,562.304,655.36,574.994,617.325,648.084,655.878,478.856,507.453,463.046,473.073,499.885,543.92,563.269,448.948,566.985,549.978,570.475,553.988,580.288,577.325,548.137,584.738,562.726,579.407,569.648,572.893,567.565,589.595,599.913,586.934,617.046,618.766,635.513,602.371,631.912,626.209,647.94,651.123,651.137,644.837,660.493,657.058,770.006,665.053,662.13,673.065,697.074,663.716,745.548,758.996,609.686,667.712,675.449,545.322,498.334,447.356,556.324,490.127,456.054,559.154,592.787,570.268,639.589,619.435,602.634,607.982,613.753,
460,639.841,521.526,517.162,524.841,511.612,519.589,573.194,564.113,626.261,655.028,578.888,667.607,548.15,600.398,640.019,659.14,503.502,452.41,452.966,492.837,433.218,487.753,487.742,548.017,593.288,492.126,567.272,564.219,564.863,582.083,596.875,634.029,571.094,549.201,562.92,572.309,560.737,589.595,604.888,603.892,614.989,618.976,625.681,642.642,641.237,621.938,647.637,643.091,608.134,621.09,666.066,657.557,665.835,755.16,759.301,664.162,762.374,755.548,667.941,768.926,642.325,704.401,658.579,500.997,487.269,450.342,563.783,455.231,472.625,548.035,559.06,575.387,646.018,620.808,603.132,619.468,613.899,
480,645.727,530.006,528.116,560.794,520.81,546.719,551.672,548.229,620.02,646.68,575.288,672.885,590.493,632.889,646.099,653.988,506.856,483.579,451.925,529.345,554.225,540.858,551.603,581.702,558.724,478.667,593.644,562.626,594.837,573.063,558.941,579.794,599.002,556.686,589.403,573.68,541.8,545.551,483.168,589.494,621.376,655.641,645.95,591.359,613.848,643.558,653.689,651.351,653.901,655.65,652.992,657.557,668.878,674.867,668.024,681.917,754.074,663.951,684.18,768.926,625.698,756.33,644.481,522.419,546.097,498.088,501.382,441.468,455.384,583.52,593.305,574.256,600.713,646.228,569.038,640.454,616.419,
500,645.727,524.12,526.239,543.331,549.085,536.657,545.624,588.721,629.609,646.086,550.78,655.95,574.112,625.115,629.706,658.77,510.804,522.163,510.644,462.503,544.761,559.799,545.964,570.982,553.055,552.917,562.878,548.092,565.797,574.478,584.305,597.661,576.011,626.511,576.646,597.29,477.341,606.79,583.085,639.045,616.121,622.735,649.225,618.316,645.298,650.772,655.705,651.351,640.906,652.021,652.241,657.081,665.525,665.467,677.732,664.779,680.3,664.306,681.546,699.739,632.267,675.975,609.278,463.457,520.715,486.976,458.075,536.135,448.475,557.4,587.032,587.579,642.038,626.934,549.204,649.664,625.713,
520,643.591,519.604,531.808,545.075,552.92,580.627,589.977,589.618,632.639,654.523,555.693,663.162,587.853,604.914,650.863,654.123,537.782,560.032,435.572,543.792,486.684,497.619,525.801,578.862,567.292,548.821,579.985,544.449,634.635,585.099,549.725,579.905,571.841,567.824,554.846,594.097,602.727,623.655,596.44,628.594,641.926,627.005,645.942,608.221,645.298,658.496,648.994,651.533,642.184,653.011,662.473,670.705,657.552,746.713,657.193,760.306,679.948,674.307,665.59,736.524,608.993,667.737,714.811,478.413,534.223,450.289,549.661,513.357,517.373,550.968,601.704,600.814,637.784,639.39,605.275,635.565,622.512,
540,645.906,517.719,533.129,545.9,545.788,565.496,574.357,584.12,605.413,616.726,586.724,661.368,587.969,602.799,645.503,661.235,538.865,542.14,463.628,508.499,484.338,480.943,558.277,539.507,554.177,577.797,569.519,570.318,559.17,580.151,583.644,553.534,587.012,575.025,570.252,594.097,585.81,585.336,586.061,610.794,622.554,617.058,652.074,619.885,638.196,623.294,659.109,651.533,647.768,657.459,658.731,665.074,657.552,755.207,664.776,669.795,667.422,674.604,678.572,758.281,588.59,747.974,756.927,528.418,446.937,543.912,558.251,450.683,483.612,596.956,574.017,587.058,607.601,606.011,590.565,645.57,594.97,
560,638.039,533.869,513.418,532.295,549.112,572.767,586.613,587.148,608.565,631.158,557.631,662.207,588.799,590.786,649.017,655.832,440.18,425.666,487.451,520.484,463.822,543.502,561.813,565.221,558.544,569.155,546.689,590.601,555.909,556.303,457.305,578.377,588.082,622.153,597.629,579.462,564.095,594.385,634.308,587.686,650.477,645.726,644.468,646.602,638.196,640.259,660.416,648.866,651.12,652.812,652.133,665.074,663.925,659.107,752.334,661.259,681.14,667.76,744.962,752.77,627.075,671.964,681.838,486.179,442.046,566.235,547.552,449.092,427.453,591.516,604.03,591.234,612.487,639.21,590.317,653.605,630.879,
580,636.239,521.967,512.782,534.038,511.332,541.622,584.577,582.932,632.642,644.285,570.223,667.416,585.443,586.697,647.473,650.034,419.658,444.516,544.595,538.112,546.211,539.241,536.125,570.704,558.626,542.64,553.43,558.788,572.208,588.057,513.073,564.489,581.785,588.806,550.035,599.489,600.429,579.856,583.319,632.254,626.865,610.988,623.584,611.136,638.45,631.977,653.048,608.558,657.145,648.356,654.221,615.644,658.483,680.022,753.749,669.76,757.878,677.044,659.052,671.619,633.279,702.012,656.097,454.02,451.589,485.818,490.293,492.193,520.427,564.538,630.389,605.271,628.035,643.994,587.635,628.915,630.808,
600,642.338,520.875,538.471,538.715,526.958,535.659,570.97,596.865,619.96,627.071,597.333,667.416,602.412,607.021,627.521,661.132,529.804,554.842,488.29,544.513,455.707,553.898,490.331,556.066,575.717,572.278,567.398,554.937,554.005,592.873,581.286,558.506,611.872,579.693,573.613,601.548,578.612,598.688,555.696,629.683,645.974,610.804,638.906,643.145,624.935,645.465,653.328,644.278,646.698,647.121,659.778,666.904,656.77,666.463,751.491,684.414,768.549,753.238,735.746,672.882,641.814,756.815,666.175,490.774,542.405,537.482,535.525,525.883,480.335,547.201,591.983,591.154,641.367,650.894,575.998,641.69,635.723,
620,642.338,511.673,514.998,523.824,549.391,541.025,571.023,567.652,600.516,613.366,589.098,667.271,547.654,630.027,638.112,647.722,440.707,489.414,482.964,557.689,478.772,540.476,562.051,575.769,563.336,556.009,541.523,555.14,565.782,579.021,592.982,575.016,589.957,633.071,591.64,591.226,548.52,628.756,572.386,634.42,630.062,624.695,614.363,629.599,649.339,635.42,659.052,653.406,659.282,651.433,654.975,651.121,659.304,663.943,677.885,752.657,686.075,746.479,672.206,665.641,613.512,665.408,668.011,541.354,450.508,460.901,417.509,517.854,506.536,551.554,591.983,597.622,603.201,622.774,599.151,614.215,630.123,
640,640.945,523.579,529.414,530.043,549.391,550.7,579.276,552.587,632.086,644.549,589.225,668.83,482.865,580.706,641.106,657.179,432.343,495.447,438.473,542.083,490.51,565.493,556.632,446.004,572.292,556.009,578.007,564.006,574.917,593.621,569.187,547.752,574.526,579.358,549.606,632.774,575.857,583.525,638.656,630.632,638.849,622.961,627.004,626.796,623.697,627.844,656.087,648.091,620.662,628.285,660.674,658.24,661.949,661.623,661.378,666.749,680.679,770.731,671.034,745.319,637.795,750.248,663.122,443.294,442.904,462.03,492.69,519.157,473.585,574.333,587.145,595.997,625.62,609.106,590.266,649.294,616.229,
660,649.888,526.11,515.8,528.664,553.559,539.259,592.022,589.609,643.064,659.903,572.163,728.981,585.988,589.561,645.747,665.05,514.916,493.203,443.069,479.339,456.959,449.958,486.226,604.389,555.81,581.074,572.69,565.263,567.699,587.818,600.423,547.752,571.326,570.15,497.212,567.756,564.32,578.289,593.865,623.561,625.158,627.726,619.166,618.438,623.697,611.27,648.831,648.091,631.833,655.96,756.373,658.891,672.472,749.991,666.031,679.37,671.354,675.594,751.627,750.116,598.119,756.381,670.774,488.153,457.943,490.841,513.976,439.418,464.808,567.899,587.354,631.395,624.71,632.588,619.909,605.663,617.238,
680,648.384,514.88,528.496,542.25,537.945,579.464,557.813,584.296,613.333,659.903,588.865,657.298,581.357,584.044,601.947,662.372,441.794,444.068,558.661,523.493,475.754,489.449,548.754,632.831,540.258,561.794,558.998,567.8,482.374,568.54,596.459,545.622,567.988,569.205,517.465,612.865,574.214,582.439,600.776,639.706,627.925,638.837,639.435,615.151,609.699,613.737,659.608,623.455,652.472,645.588,659.37,658.891,652.28,665.371,750.599,665.128,746.292,677.478,768.029,670.598,594.442,723.716,662.433,458.308,457.68,479.354,519.213,531.298,509.037,547.608,560.141,603.862,634.99,647.818,607.757,636.275,643.282,
700,638.301,530.742,541.878,514.401,572.791,554.315,601.474,585.884,607.189,633.336,570.881,746.144,593.172,633.703,639.003,651.177,462.185,441.18,463.084,565.56,480.682,484.606,501.197,543.856,583.941,520.585,561.758,564.803,587.989,562.466,584.819,595.154,580.102,587.583,514.958,648.371,578.901,568.845,591.37,630.36,648.129,642.347,621.256,616.822,618.375,640.127,651.253,648.976,652.472,648.922,660.245,658.891,656.473,662.948,671.006,670.67,746.912,672.683,663.973,773.394,622.18,664.603,661.526,492.329,439.758,538.115,479.597,507.958,447.771,564.947,571.843,571.539,616.229,605.66,596.834,628.579,618.893,
720,638.529,537.425,527.993,531.631,519.654,553.488,592.175,578.051,613.832,609.485,629.586,750.083,590.915,612.611,619.045,651.293,479.743,424.205,541.412,485.056,560.905,492.493,541.851,555.671,552.216,575.774,571.417,564.803,565.412,571.121,597.689,594.805,587.332,570.828,494.25,606.876,598.664,504.12,635.226,638.151,620.536,606.873,610.705,651.338,622.848,642.119,652.608,654.689,652.472,613.203,658.316,611.107,656.473,670.686,664.99,675.047,658.282,663.412,760.94,764.96,609.355,673.957,660.181,527.488,447.512,461.512,495.428,522.343,530.037,587.764,595.969,574.797,630.5,610.252,583.199,655.665,618.826,
740,643.993,521.359,532.316,522.228,549.684,547.684,572.367,562.57,605.099,624.896,580.175,668.826,585.992,596.369,632.928,654.895,512.892,472.988,453.109,442.743,465.108,541.995,554.931,581.717,458.318,443.87,562.996,566.951,561.784,565.924,629.26,580.362,555.591,600.889,612.716,515.948,629.35,589.841,593.127,625.828,608.296,644.116,622.908,636.362,638.853,648.507,660.733,640.611,652.472,623.834,650.008,657.927,662.319,675.128,666.085,666.139,670.087,676.002,690.513,760.83,577.403,662.227,657.937,459.033,527.921,442.746,491.993,472.726,435.749,547.811,563.725,570.912,622.472,616.998,578.1,646.049,614.126,
