"","a14","b3","a24","b10","b2","b12","e4","a5","d5","b13","b4","b1","a1","a3","ant","f12","e1","b6","e5","f5","f13","f38","d29","b8","d33","h1","g2","c1","f14","i1","f35","zoo","d19","g1","d3","d15","f15","c12","c14","c5","c13","c4","c6","d7","f55","g7","i13","i5","relief"
"a1",0,0.102138418508868,0.122225177075605,0.0613164239886123,0.417991367927345,0.859824120206384,0,0.400291790827944,1.26528922831455,0.253688316636068,0.572142047754603,0.492099340081067,0,0.371471352292452,0.309777783287112,-0.0339937558157125,0.511517425938168,-0.275155812632601,0,0.166676939646439,0.859824120206384,0,0.705673440379126,0.859824120206384,1.04214567700034,0.146057652443703,-0.483910626494711,0.221165124930508,0.689925083410986,0,0,-0.392938848288984,0,0.0227827599863693,0.284459975302822,-0.0339937558157125,0.977607155862767,0,0,-0.015644617147516,0,0,0,0,0,1.26528922831455,0,0,0
"a3",0,0,0.462233068529126,0.273490943932248,0,0,0,0,0,0,0,0,0.371471352292452,0,0.927417411338912,0,0,0,0,0.601995010904284,0,0,0,0,0,0.804519275015758,0,0.455812500726203,0,0,0,0,0,0.458100831244215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ant",0,0,0.988326164425904,0.953734719656286,0.973937426973805,2.22670039546917,0,0,2.69670402471491,0,0,0,0.309777783287112,0.927417411338912,0,0.927417411338912,0,0,0,0.722622998692899,0,0,0,0,0,0.126639566586601,0,-0.116706692045128,0,0.492099340081067,0,0,0,-0.268569041354374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f12",0,0,0,0.561173016384029,0,0,0,0,0,0,2.10607240768056,0,-0.0339937558157125,0,0.927417411338912,0,2.04544778586412,0,0,1.58282426391601,1.98828937202417,0,0,0,0,0,0,0.561173016384029,1.41292522712061,0,0,0,0,0.303950151416957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e1",0,0,0.496918626517016,0.819002125686129,0,0,0,0,0,2.04544778586412,0,0,0.511517425938168,0,0,2.04544778586412,0,0,2.49743290960718,1.55297130076633,0,0,0,0,0,0,0,0.125854945126183,1.95843640887449,0,0,0,0,0.156314152610892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b6",0,0,0,0,0,0,0,0,0,0,0,0,-0.275155812632601,0,0,0,0,0,0,0,0,0,0,0,0,1.03336084744461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e5",0,0,0,1.41862324823525,0,0,2.8457396038754,0,0,0,0,0,0,0,0,0,2.49743290960718,0,0,0,0,0,0,0,0,0,0,0.502332516361095,0,0,0,0,0,1.04361734761179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f5",0,0,-0.253386967882878,0.879626747502564,0.871658577853387,0,0,0,0,1.29514219146423,1.61359592258276,0,0.166676939646439,0.601995010904284,0.722622998692899,1.58282426391601,1.55297130076633,0,0,0,0,0,0,0,0,0.494364346711919,0,0.251018088080189,1.43127436578881,0,0,0,0,-0.370847890474792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f13",0,0,0,0,0,0,0,0,0,0,0,0,0.859824120206384,0,0,1.98828937202417,0,0,0,0,0,0,0,0,0,0,0,1.09831594846739,0,0,0,0,0,1.19776802743905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f38",0,0,0,2.26592110862245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d29",0,0,0,0,0,0,0,0,0,0,0,0,0.705673440379126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b8",0,0,0,0,0,0,0,0,0,0,0,0,0.859824120206384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d33",0,0,0,0,0,0,0,0,0,0,0,0,1.04214567700034,0,0,0,0,0,0,0,0,0,0,0,0,1.77529819217398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"h1",0,0,-0.00207253960197242,0.320010959567141,0.56335721819887,0,0,0.440297125441643,0,0,0,0,0.146057652443703,0.804519275015758,0.126639566586601,0,0,1.03336084744461,0,0.494364346711919,0,0,0,0,1.77529819217398,0,0,0.0968674082529311,0.612147382368302,0,0,0.340213666884661,0,0.0139979304306366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88065870783181
"g2",0,0,0,0,0,0,0,0,0,0,0,0,-0.483910626494711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.516721253813195,0,0,0,0,0,0.952645569406068,0,1.74316691399119,0,0,0,0,0,0,0,0,0,0,0,0,0
"c1",0,0.186479566942618,-0.17642592674675,0.00255672878168975,0.502332516361095,0,-0.0366639843715915,-0.496196313750032,0,0.0503473926180384,0.368801123736573,0.576440488514817,0.221165124930508,0.455812500726203,-0.116706692045128,0.561173016384029,0.125854945126183,0,0.502332516361095,0.251018088080189,1.09831594846739,0,0,0,0,0.0968674082529311,0.516721253813195,0,0.368801123736573,0,0,-0.0854541485410235,0,0.559109032163177,0.656483196188354,0.561173016384029,1.06194830429652,1.09831594846739,0.656483196188354,0.656483196188354,1.06194830429652,1.16730881995434,0,0,1.3496303767483,0,0,0,0
"f14",0,0,0.78068679964766,0.879626747502564,0,0,0,0,0,0,0,0,0.689925083410986,0,0,1.41292522712061,1.95843640887449,0,0,1.43127436578881,0,0,0,0,0,0.612147382368302,0,0.368801123736573,0,0,3.11767331935904,0,0,0.216938774427327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"i1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.492099340081067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36390151698266,1.95843640887449,0
"f35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11767331935904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zoo",0,0,-0.0020725396019722,0,0,0,0,0,0,0,0,0,-0.392938848288984,0,0,0,0,0,0,0,0,0,0,0,0,0.340213666884661,0,-0.0854541485410235,0,0,0,0,0,0.168148610257895,2.15259242331545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d19",0,0,0.739864805127405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g1",0,0,-1.02143545661594,-0.517030400652874,0.216938774427327,0,0,0,0,0.303950151416957,0.622403882535491,0.13689606675379,0.0227827599863693,0.458100831244215,-0.268569041354374,0.303950151416957,0.156314152610892,0,1.04361734761179,-0.370847890474792,1.19776802743905,0,0,0,0,0.0139979304306366,0.952645569406068,0.559109032163177,0.216938774427327,0,0,0.168148610257895,0,0,0.910085954987272,1.28477940442868,1.60323313554722,1.0154464706451,0,0.658771526706366,0.910085954987272,0,1.60323313554722,0,0,1.60323313554722,0,0,0
"d3",0,0,0,0,0,0,0,0,0,0,0,0,0.284459975302822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.656483196188354,0,0,0,2.15259242331545,0,0.910085954987272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d15",0,0,0,0,0,0,0,0,0,0,0,0,-0.0339937558157125,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74316691399119,0.561173016384029,0,0,0,0,0,1.28477940442868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f15",0,0,0,0,0,0,0,0,0,0,0,0,0.977607155862767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06194830429652,0,0,0,0,0,1.60323313554722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
