token1,token2,token3,token4,token1_freq,token2_freq,token3_freq,token4_freq,observed_freq,expected_freq,PMI
C1,C4,C5,C12,125,6,18,9,3,0.00108501355347136,7.92477508905717
A1,A24,D5,ANT,136,69,5,26,3,0.0108940718860147,5.61814879003102
A1,A24,B12,ANT,136,69,6,26,3,0.0130728862632176,5.43582723323706
C1,F12,F13,G1,125,22,9,97,3,0.0214390641028508,4.94115288431969
A1,C1,E1,F14,136,125,17,16,3,0.041293026100836,4.28567394148556
A1,C1,F13,G1,136,125,9,97,5,0.132532396272169,3.63036607570795
A1,A24,B10,ANT,136,69,50,26,4,0.108940718860147,3.60324576948875
A3,C1,G1,H1,22,125,97,49,4,0.116723793448854,3.53423923599707
A1,A24,B2,H1,136,69,28,49,3,0.114974358673939,3.26165843220077
A1,B10,C1,E1,136,50,125,17,3,0.129040706565112,3.1462396582972
A1,A24,F5,H1,136,69,36,49,3,0.147824175437922,3.01034400391986
A1,C1,F14,G1,136,125,16,97,3,0.2356131489283,2.54417630703839
A1,C1,C5,G1,136,125,18,97,3,0.265064792544337,2.42639327138201
A1,A24,B2,C1,136,69,28,125,3,0.293301935392703,2.32516499300909
A1,B2,C1,G1,136,28,125,97,4,0.412323010624524,2.27224259155475
A1,C1,F12,G1,136,125,22,97,3,0.323968079776412,2.22572257591986
A1,A3,C1,G1,136,22,125,97,3,0.323968079776412,2.22572257591986
A24,C1,G1,H1,69,125,97,49,3,0.366088261271407,2.10349311230634
A1,A24,B10,C1,136,69,50,125,3,0.523753456058398,1.74534649775615
A1,C1,G1,H1,136,125,97,49,3,0.721565268592917,1.42494473116755
