token1,token2,token3,token1_freq,token2_freq,token3_freq,observed_freq,expected_freq,PMI
C4,C5,C12,6,18,9,3,0.00418381226218557,6.57514471230887
C1,C4,C12,125,6,9,3,0.0290542518207331,4.63720273290274
C1,C4,C5,125,6,18,5,0.0581085036414662,4.45488117610878
A24,D5,ANT,69,5,26,3,0.038609872419552,4.35285956171647
C1,C12,C13,125,9,8,3,0.0387390024276442,4.34952066045095
A24,B12,ANT,69,6,26,3,0.0463318469034624,4.17053800492251
A1,D5,ANT,136,5,26,4,0.0761006181023054,3.96199325302946
E1,F5,F12,17,36,22,3,0.0579535476317557,3.94672578089867
F12,F13,G1,22,9,97,3,0.0826690311805926,3.59152250757139
C1,C5,C12,125,18,9,3,0.0871627554621994,3.53859044423463
A1,B12,ANT,136,6,26,3,0.0913207417227665,3.49198962378372
B4,C1,F12,8,125,22,3,0.0946953392675746,3.45570278442886
D15,G1,G2,11,97,23,3,0.105632650952979,3.34640004953841
C1,F12,F13,125,22,9,3,0.106532256676021,3.33791974877247
A1,D33,H1,136,5,49,3,0.143420395654345,3.04058742048853
C1,E1,F14,125,17,16,3,0.146347342504433,3.02038471317101
A1,A24,D5,136,69,5,4,0.201959332656118,2.98598328645368
A1,E1,F14,136,17,16,3,0.159225908644824,2.93604356473726
A1,G1,G7,136,97,3,3,0.170348306675161,2.86852236386177
B10,F5,F12,50,36,22,3,0.170451610681634,2.86791611952674
A1,B10,B12,136,50,6,3,0.17561681100532,2.83806315637706
C1,F15,G1,125,4,97,3,0.208760179748971,2.66518143984374
B2,B10,F5,28,50,36,3,0.216938413594807,2.62675406270985
A1,F15,G1,136,4,97,3,0.227131075566881,2.58084029140999
A24,B10,ANT,69,50,26,5,0.38609872419552,2.56110009248841
C1,F13,G1,125,9,97,6,0.469710404435185,2.54739840418735
A1,A24,B12,136,69,6,3,0.242351199187342,2.51597965720794
C1,C12,G1,125,9,97,5,0.469710404435185,2.3650768473934
A1,F13,G1,136,9,97,5,0.511044920025482,2.28073569895965
C1,C13,G1,125,8,97,4,0.417520359497943,2.25971633173557
C1,F5,F12,125,36,22,4,0.426129026704086,2.23930746010436
A3,A24,H1,22,69,49,3,0.32016494206367,2.23753126070311
A1,C1,F13,136,125,9,6,0.658563041269951,2.20945449695468
A1,A3,ANT,136,22,26,3,0.334842719650144,2.19270663965346
A1,F5,F14,136,36,16,3,0.337184277130215,2.18573797033737
A3,G1,H1,22,97,49,4,0.450086947538782,2.18460885924877
B10,C1,E1,50,125,17,4,0.457335445326355,2.16863250243443
A1,B10,F14,136,50,16,4,0.468311496014187,2.14491597581711
A1,E1,F5,136,17,36,3,0.358258294450853,2.12511334852093
B10,F5,H1,50,36,49,3,0.379642223790913,2.06713827477443
A1,A24,B1,136,69,13,4,0.525094264905907,2.03047184142624
A24,B2,H1,69,28,49,3,0.40748265353558,1.99636920388622
A24,B2,B10,69,28,50,3,0.415798626056714,1.9761664965687
