token1,token2,token1_freq,token2_freq,observed_freq,expected_freq,PMI
I5,I13,6,4,3,0.049792531120332,4.09850257237077
C4,C12,6,9,3,0.112033195020747,3.28757235615444
C12,C13,9,8,4,0.149377593360996,3.28757235615444
C5,D7,18,3,3,0.112033195020747,3.28757235615444
F14,F35,16,4,3,0.132780082987552,3.11767331935904
C4,C5,6,18,5,0.224066390041494,3.10525079936048
E4,E5,12,7,3,0.174273858921162,2.8457396038754
D5,ANT,5,26,4,0.269709543568465,2.69670402471491
E1,E5,17,7,3,0.246887966804979,2.49743290960718
I1,I13,34,4,3,0.282157676348548,2.36390151698266
C5,C13,18,8,3,0.298755186721992,2.30674310314271
B10,F38,50,3,3,0.311203319502075,2.26592110862245
B12,ANT,6,26,3,0.323651452282158,2.22670039546917
C5,C12,18,9,3,0.336099585062241,2.18896006748633
D3,ZOO,8,21,3,0.348547717842324,2.15259242331545
B4,F12,8,22,3,0.365145228215768,2.10607240768056
E1,F12,17,22,6,0.775933609958506,2.04544778586412
B13,E1,11,17,3,0.387966804979253,2.04544778586412
F12,F13,22,9,3,0.410788381742739,1.98828937202417
E1,F14,17,16,4,0.564315352697095,1.95843640887449
I1,I5,34,6,3,0.423236514522822,1.95843640887449
H1,RELIEF,49,6,4,0.609958506224066,1.88065870783181
B10,B12,50,6,4,0.622406639004149,1.86045600051429
A5,E4,19,12,3,0.473029045643154,1.84721077376427
D33,H1,5,49,3,0.508298755186722,1.77529819217398
A14,A24,6,69,5,0.858921161825726,1.76151605265939
D15,G2,11,23,3,0.524896265560166,1.74316691399119
A24,D5,69,5,4,0.715767634854772,1.72069405813913
B4,F5,8,36,3,0.597510373443983,1.61359592258276
F15,G1,4,97,4,0.804979253112033,1.60323313554722
C6,G1,3,97,3,0.603734439834025,1.60323313554722
G1,G7,97,3,3,0.603734439834025,1.60323313554722
F5,F12,36,22,8,1.64315352697095,1.58282426391601
E1,F5,17,36,6,1.26970954356846,1.55297130076633
B2,B13,28,11,3,0.639004149377593,1.54645661974514
F5,F14,36,16,5,1.19502074688797,1.43127436578881
B2,B10,28,50,12,2.9045643153527,1.41862324823525
B10,E5,50,7,3,0.726141078838174,1.41862324823525
F12,F14,22,16,3,0.730290456431535,1.41292522712061
C1,F55,125,3,3,0.778008298755187,1.3496303767483
B13,F5,11,36,3,0.821576763485477,1.29514219146423
D15,G1,11,97,8,2.21369294605809,1.28477940442868
A1,G7,136,3,3,0.846473029045643,1.26528922831455
A1,D5,136,5,5,1.41078838174274,1.26528922831455
A24,B12,69,6,3,0.858921161825726,1.2506904288934
F13,G1,9,97,6,1.81120331950207,1.19776802743905
B2,B3,28,16,3,0.929460580912863,1.17176317030372
A24,B1,69,13,6,1.86099585062241,1.17064772121986
C1,C4,125,6,5,1.55601659751037,1.16730881995434
C1,F13,125,9,7,2.33402489626556,1.09831594846739
C1,C12,125,9,7,2.33402489626556,1.09831594846739
C1,C13,125,8,6,2.0746887966805,1.06194830429652
C1,F15,125,4,3,1.03734439834025,1.06194830429652
E5,G1,7,97,4,1.40871369294606,1.04361734761179
A1,D33,136,5,4,1.41078838174274,1.04214567700034
B6,H1,14,49,4,1.42323651452282,1.03336084744461
C12,G1,9,97,5,1.81120331950207,1.0154464706451
A24,ANT,69,26,10,3.72199170124481,0.988326164425905
A1,F15,136,4,3,1.12863070539419,0.977607155862767
B2,ANT,28,26,4,1.5103734439834,0.973937426973805
B10,B13,50,11,3,1.14107883817427,0.966638124492194
B10,ANT,50,26,7,2.69709543568465,0.953734719656286
G1,G2,97,23,12,4.62863070539419,0.952645569406068
A5,A24,19,69,7,2.71991701244813,0.945308779342214
F12,ANT,22,26,3,1.18672199170124,0.927417411338912
A3,ANT,22,26,3,1.18672199170124,0.927417411338912
C13,G1,8,97,4,1.60995850622407,0.910085954987272
D3,G1,8,97,4,1.60995850622407,0.910085954987272
B10,F5,50,36,9,3.7344398340249,0.879626747502564
B10,F14,50,16,4,1.6597510373444,0.879626747502564
B2,F5,28,36,5,2.09128630705394,0.871658577853387
A1,B8,136,6,4,1.69294605809129,0.859824120206384
A1,B12,136,6,4,1.69294605809129,0.859824120206384
A1,F13,136,9,6,2.53941908713693,0.859824120206384
B10,E1,50,17,4,1.76348547717842,0.819002125686129
A3,H1,22,49,5,2.23651452282158,0.804519275015758
A24,F14,69,16,5,2.29045643153527,0.78068679964766
A24,D19,69,10,3,1.43153526970954,0.739864805127405
F5,ANT,36,26,4,1.94190871369295,0.722622998692899
A1,D29,136,7,4,1.97510373443983,0.705673440379126
A24,B2,69,28,8,4.00829875518672,0.691074640957973
A1,F14,136,16,9,4.51452282157676,0.689925083410986
C5,G1,18,97,7,3.62240663900415,0.658771526706366
C1,C5,125,18,9,4.66804979253112,0.656483196188354
C1,D3,125,8,4,2.0746887966805,0.656483196188354
C1,C14,125,6,3,1.55601659751037,0.656483196188354
A24,B13,69,11,3,1.5746887966805,0.64455462532308
B4,G1,8,97,3,1.60995850622407,0.622403882535491
F14,H1,16,49,3,1.62655601659751,0.612147382368302
A3,F5,22,36,3,1.64315352697095,0.601995010904284
A24,B10,69,50,13,7.15767634854772,0.596763961486732
B3,B10,16,50,3,1.6597510373444,0.591944675050783
B1,C1,13,125,6,3.37136929460581,0.576440488514817
A1,B4,136,8,4,2.25726141078838,0.572142047754603
B2,H1,28,49,5,2.84647302904564,0.56335721819887
B10,F12,50,22,4,2.28215767634855,0.561173016384029
C1,F12,125,22,10,5.70539419087137,0.561173016384029
C1,D15,125,11,5,2.85269709543568,0.561173016384029
C1,G1,125,97,44,25.155601659751,0.559109032163177
A24,B3,69,16,4,2.29045643153527,0.55754324833345
A24,E4,69,12,3,1.71784232365145,0.55754324833345
C1,G2,125,23,10,5.96473029045643,0.516721253813195
A1,E1,136,17,8,4.79668049792531,0.511517425938168
C1,E5,125,7,3,1.81535269709544,0.502332516361095
B2,C1,28,125,12,7.26141078838174,0.502332516361095
A24,E1,69,17,4,2.43360995850622,0.496918626517016
F5,H1,36,49,6,3.6597510373444,0.494364346711919
A1,B1,136,13,6,3.66804979253112,0.492099340081067
I1,ANT,34,26,3,1.83402489626556,0.492099340081067
A3,A24,22,69,5,3.149377593361,0.462233068529126
A3,G1,22,97,7,4.42738589211618,0.458100831244215
A3,C1,22,125,9,5.70539419087137,0.455812500726203
A5,H1,19,49,3,1.93153526970954,0.440297125441643
A5,B10,19,50,3,1.97095435684647,0.420094418124123
A1,B2,136,28,12,7.90041493775934,0.417991367927345
A1,A5,136,19,8,5.36099585062241,0.400291790827944
A1,A3,136,22,9,6.20746887966805,0.371471352292452
C1,F14,125,16,6,4.149377593361,0.368801123736573
B4,C1,8,125,3,2.0746887966805,0.368801123736573
H1,ZOO,49,21,3,2.13485477178423,0.340213666884661
B10,H1,50,49,7,5.08298755186722,0.320010959567141
A1,ANT,136,26,10,7.33609958506224,0.309777783287112
F12,G1,22,97,6,4.42738589211618,0.303950151416957
B13,G1,11,97,3,2.21369294605809,0.303950151416957
A1,D3,136,8,3,2.25726141078838,0.284459975302822
A3,B10,22,50,3,2.28215767634855,0.273490943932248
A1,B13,136,11,4,3.10373443983402,0.253688316636068
C1,F5,125,36,12,9.33609958506224,0.251018088080189
A1,C1,136,125,44,35.2697095435685,0.221165124930508
F14,G1,16,97,4,3.21991701244813,0.216938774427327
B2,G1,28,97,7,5.63485477178423,0.216938774427327
B3,C1,16,125,5,4.149377593361,0.186479566942618
G1,ZOO,97,21,5,4.22614107883817,0.168148610257895
A1,F5,136,36,12,10.1576763485477,0.166676939646439
E1,G1,17,97,4,3.42116182572614,0.156314152610892
A1,H1,136,49,16,13.8257261410788,0.146057652443703
B1,G1,13,97,3,2.61618257261411,0.13689606675379
H1,ANT,49,26,3,2.64315352697095,0.126639566586601
C1,E1,125,17,5,4.40871369294606,0.125854945126183
A1,A24,136,69,22,19.4688796680498,0.122225177075605
A1,B3,136,16,5,4.51452282157676,0.102138418508868
C1,H1,125,49,14,12.7074688796681,0.0968674082529311
A1,B10,136,50,15,14.1078838174274,0.0613164239886123
B13,C1,11,125,3,2.85269709543568,0.0503473926180384
A1,G1,136,97,28,27.3692946058091,0.0227827599863693
G1,H1,97,49,10,9.86099585062241,0.0139979304306366
B10,C1,50,125,13,12.9668049792531,0.00255672878168975
A24,ZOO,69,21,3,3.00622406639004,-0.0020725396019722
A24,H1,69,49,7,7.01452282157676,-0.00207253960197242
A1,C5,136,18,5,5.07883817427386,-0.015644617147516
A1,F12,136,22,6,6.20746887966805,-0.0339937558157125
A1,D15,136,11,3,3.10373443983402,-0.0339937558157125
C1,E4,125,12,3,3.11203319502075,-0.0366639843715915
C1,ZOO,125,21,5,5.44605809128631,-0.0854541485410235
C1,ANT,125,26,6,6.74273858921162,-0.116706692045128
A24,C1,69,125,15,17.8941908713693,-0.17642592674675
A24,F5,69,36,4,5.15352697095436,-0.253386967882878
G1,ANT,97,26,4,5.23236514522822,-0.268569041354374
A1,B6,136,14,3,3.95020746887967,-0.275155812632601
F5,G1,36,97,5,7.2448132780083,-0.370847890474792
A1,ZOO,136,21,4,5.9253112033195,-0.392938848288984
A1,G2,136,23,4,6.4896265560166,-0.483910626494711
A5,C1,19,125,3,4.92738589211618,-0.496196313750032
B10,G1,50,97,6,10.0622406639004,-0.517030400652874
A24,G1,69,97,5,13.8858921161826,-1.02143545661594
