"","ID.machihne","ID.geo","Symmetric","Side","Breaks","Parallel.width.shaft..mm.","Perpendicular.width.shaft..mm.","Width.geo.before.shaft..mm.","Max.width..mm.","Distance.from.tip.to.start.haft..mm.","Day","Area.under.curve..J.","Maximum.Force..kgf.","Displacement.at.Maximum.Force..mm.","Modulus..Automatic.Young.s...kgf.mm..","Break.location","Compressive.displacement.at.Maximum.Force..mm.","Compressive.strain..Displacement..at.Maximum.Force....","Compressive.stress.at.Maximum.Force..kgf.mm..","Energy.at.Maximum.Force..J.","Energy.to.X.intercept.at.Modulus..Automatic.Young.s...J.","Rep.type"
"1",1,1,"Yes","Distal/Proximal","No",7.3,7.3,1.8,9.9,11.9,"D1",0.3438,2.68,27.74,1.32,"-----",27.74,27.74,0.27,0.29,"0.00",2622
"2",2,2,"Yes","Distal/Proximal","No",7.6,8.5,2.1,12,11.4,"D1",0.4626,3.56,29.97,1.24,"-----",29.97,29.97,0.36,0.46,"0.00",2622
"3",3,3,"No","Distal","No",6,5.7,1.3,10.8,7.2,"D1",0.4207,2.31,24.06,1.41,"-----",24.06,24.06,0.23,0.31,"0.01",2321
"4",4,4,"No","Distal","No",7.4,7.2,2.8,11,6.5,"D1",0.4107,2.29,26.91,2.22,"-----",26.91,26.91,0.23,0.35,"0.01",2321
"5",5,5,"No","Distal","No",6.5,6.1,1.8,8.5,12.2,"D1",0.2761,1.85,23.87,1.17,"-----",23.87,23.87,0.19,0.17,"0.00",658
"6",6,6,"No","Distal","No",6,7.2,1.5,7.6,9.2,"D1",0.2984,1.91,22.16,1.34,"-----",22.16,22.16,0.19,0.17,"0.00",658
"7",7,7,"Yes","Horizontal","No",7.6,7.4,4.1,20.7,10.9,"D1",0.8574,3.79,29.73,3.9,"-----",29.73,29.73,0.38,0.85,"0.00",240
"8",8,8,"Yes","Horizontal","No",7.8,6.3,3.8,18.4,7.9,"D1",0.8317,3.79,22.24,4.02,"-----",22.24,22.24,0.38,0.56,"0.00",240
"9",9,9,"Yes","Horizontal","No",6.4,6.9,2.2,4.8,6.5,"D1",0.831,3.63,19.31,3.8,"-----",19.31,19.31,0.36,0.48,"-----",2831
"10",10,10,"Yes","Horizontal","No",7.4,5.9,3.5,17.3,5.1,"D1",0.8155,3.68,19.13,3.76,"-----",19.13,19.13,0.37,0.46,"0.00",2831
