"","ID_machine","ID_geo","Symmetry","Inclination","Break","Parallel_width_shaft","Perpendicular_width_shaft","Width_before_shaft","Max_width","Distance_tip_to_shaft","Day","Area_under_curve","Max_force","Displacement_at_max_force","Modulus_automatic_young","Break_location","Compressive_displacement_max_force","Compressive_strain_displacement_max_force","Compressive_stress_at_max_force","Energy_at_max_force","Energy_to_X_intercept_at_modulus_automatic_young","Rep_type","PC1","PC2"
"1",1,1,"Yes","Distal/Proximal","No",7.3,7.3,1.8,9.9,11.9,"D1",0.3438,2.68,27.74,1.32,"-----",27.74,27.74,0.27,0.29,"0.00",2622,0.00412264323842311,0.0277106598523252
"2",2,2,"Yes","Distal/Proximal","No",7.6,8.5,2.1,12,11.4,"D1",0.4626,3.56,29.97,1.24,"-----",29.97,29.97,0.36,0.46,"0.00",2622,-0.00942451312688691,-0.0852214043906165
"3",3,3,"No","Distal","No",6,5.7,1.3,10.8,7.2,"D1",0.4207,2.31,24.06,1.41,"-----",24.06,24.06,0.23,0.31,"0.01",2321,-0.28814810436836,-0.31824613174733
"4",4,4,"No","Distal","No",7.4,7.2,2.8,11,6.5,"D1",0.4107,2.29,26.91,2.22,"-----",26.91,26.91,0.23,0.35,"0.01",2321,-0.265553071239881,-0.370290893796455
"5",5,5,"No","Distal","No",6.5,6.1,1.8,8.5,12.2,"D1",0.2761,1.85,23.87,1.17,"-----",23.87,23.87,0.19,0.17,"0.00",658,-0.408829266796194,0.024164527185868
"6",6,6,"No","Distal","No",6,7.2,1.5,7.6,9.2,"D1",0.2984,1.91,22.16,1.34,"-----",22.16,22.16,0.19,0.17,"0.00",658,-0.296592342980955,-0.00162613654104045
"7",7,7,"Yes","Horizontal","No",7.6,7.4,4.1,20.7,10.9,"D1",0.8574,3.79,29.73,3.9,"-----",29.73,29.73,0.38,0.85,"0.00",240,0.058107857965594,-0.358907520608318
"8",8,8,"Yes","Horizontal","No",7.8,6.3,3.8,18.4,7.9,"D1",0.8317,3.79,22.24,4.02,"-----",22.24,22.24,0.38,0.56,"0.00",240,-0.0862598909817973,-0.351706446562721
"9",9,9,"Yes","Horizontal","No",6.4,6.9,2.2,4.8,6.5,"D1",0.831,3.63,19.31,3.8,"-----",19.31,19.31,0.36,0.48,"-----",2831,0.22414802907779,-0.140219218004655
"10",10,10,"Yes","Horizontal","No",7.4,5.9,3.5,17.3,5.1,"D1",0.8155,3.68,19.13,3.76,"-----",19.13,19.13,0.37,0.46,"0.00",2831,-0.0450997876159503,-0.238173547757098
"11",11,11,"Yes","Distal/Proximal","No",6.4,5.8,2.2,10.8,7.7,"D1",0.4425,2.52,21.01,1.74,"-----",21.01,21.01,0.25,0.26,"0.00",126,0.102884768134721,-0.200846028085957
"12",12,12,"Yes","Distal/Proximal","No",6.4,5.9,1.8,12.6,6.6,"D1",0.4391,2.34,17.24,1.26,"-----",17.24,17.24,0.23,0.18,"-----",126,0.369782898721274,-0.122750859921292
"13",13,13,"No","Distal","No",8.2,5.5,2.3,9.3,13.1,"D1",0.3901,2.77,26.09,1.5,"-----",26.09,26.09,0.28,0.29,"0.00",154,0.069760245160709,0.203048389048314
"14",14,14,"No","Distal","No",7.9,6.2,1.8,11.4,13.5,"D1",0.3504,2.7,29.36,1.26,"-----",29.36,29.36,0.27,0.33,"0.00",154,0.010859129026196,0.200269281142144
"15",15,15,"No","Proximal","No",6.2,5.7,3.1,9.4,9.8,"D1",0.3557,2.17,27.51,2.88,"-----",27.51,27.51,0.22,0.32,"0.02",109,0.487945925312804,0.23222581381177
"16",16,16,"No","Proximal","No",5.5,5.4,2.5,9.5,7.8,"D1",0.3784,2.27,22.21,1.29,"-----",22.21,22.21,0.23,0.22,"0.00",109,0.471587846080534,0.164852965128473
"17",17,17,"Yes","Distal/Proximal","No",7.4,5.8,2.9,10.2,10.9,"D1",0.3844,2.45,27.86,1.55,"-----",27.86,27.86,0.24,0.34,"0.00",2836,-0.0447159628800378,0.0486945854182396
"18",18,18,"Yes","Distal/Proximal","No",7.1,7.6,2.5,11.1,15.7,"D1",0.3045,2.57,29.98,1.48,"-----",29.98,29.98,0.26,0.3,"0.00",2836,-0.0680925215076078,0.0556349454562656
"19",19,19,"Yes","Distal/Proximal","No",6.6,5.9,2,9.2,9.4,"D1",0.2886,1.71,22.23,0.93,"-----",22.23,22.23,0.17,0.17,"0.00",187,0.150551941531481,0.058447568828444
"20",20,20,"Yes","Distal/Proximal","No",5.7,5.9,1.3,9.5,7.8,"D1",0.326,1.96,20.66,1.1,"-----",20.66,20.66,0.2,0.18,"0.00",187,0.23488413407196,-0.0798741593442882
"21",21,21,"Yes","Distal/Proximal","No",6,6.4,2.5,8.2,15.1,"D1",0.2144,1.77,24.19,1.29,"-----",24.19,24.19,0.18,0.12,"0.00",101,-0.296967425741616,0.36675992578685
